,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
4197,Brooklyn,East New York,02 TWO FAMILY DWELLINGS                    ,1,4210,25,B1,122 CRYSTAL STREET,11208,2,0,2,2000,2430,1920,1,B1,300000,40.67581804,-73.87456774,-3.1377278854387827,-0.5308560094841681,5
7242,Queens,Ridgewood,07 RENTALS - WALKUP APARTMENTS             ,2A,3387,27,C3,1924 HIMROD STREET,11385,4,0,4,2500,3250,1915,2,C3,1122000,40.70896586,-73.91088048,-0.7104594621900757,-0.6554288361780305,5
2734,Brooklyn,Bensonhurst,03 THREE FAMILY DWELLINGS                  ,1,6299,3,C0,2106 81ST STREET,11214,3,0,3,2000,3040,1970,1,C0,1650000,40.60594193,-73.99290634,-1.834210879516316,-0.4131738382649333,2
6292,Queens,Belle Harbor,03 THREE FAMILY DWELLINGS                  ,1,16236,1,C0,198 BEACH 127 STREET,11694,3,0,3,2320,4022,1987,1,C0,710000,40.57648261,-73.84621313,-1.6839710288192948,-0.11803983186047948,10
234,Manhattan,Harlem-Central,07 RENTALS - WALKUP APARTMENTS             ,1,1911,148,B1,130 W 127 ST,10027,2,0,2,1557,2343,1910,2,C3,2525000,40.80963679,-73.94596166,-2.890128953758948,-0.2641627414273144,3
7486,Queens,Woodside,07 RENTALS - WALKUP APARTMENTS             ,2A,1135,37,C2,31-06 60TH   STREET,11377,5,0,5,2500,3968,1989,2,C2,591700,40.75718144,-73.90277578,0.31837791558574396,-1.048148658335405,4
6273,Queens,Bayside,03 THREE FAMILY DWELLINGS                  ,1,5865,122,C0,16-62 BELL BOULEVARD,11360,3,0,3,1968,2550,1970,1,C0,990000,40.78388892,-73.77757716,-2.0419449979404667,-0.7872130004178933,6
7285,Queens,Ridgewood,07 RENTALS - WALKUP APARTMENTS             ,2A,3499,75,C2,59-23 WOODBINE STREET,11385,6,0,6,2658,4772,1930,2,C2,2613000,40.70672209,-73.90197952,1.876182600945675,-0.634243043752824,1
5791,Brooklyn,Sunset Park,02 TWO FAMILY DWELLINGS                    ,1,818,48,S2,5322 8 AVENUE,11220,2,1,3,1600,4960,1915,1,S2,1800000,40.63901916,-74.0059229,-2.1850939773322517,0.42862876312141707,8
4968,Brooklyn,Greenpoint,02 TWO FAMILY DWELLINGS                    ,1,2693,43,B1,24 APOLLO STREET,11222,2,0,2,1875,2700,1899,1,B1,1350000,40.72509431,-73.93773791,-2.9165263858670967,-0.2543057478155522,4
